Title,Date
"Love, Death & Robots: Volumen 4: Can't Stop","3/3/26"
"Love, Death & Robots: Volumen 4: El camino a la religión","3/3/26"
"Love, Death & Robots: Volumen 4: La otra cosa grande","3/3/26"
"Bastardos sin gloria","2/21/26"
"El secreto de sus ojos","2/19/26"
"La sociedad de los poetas muertos","1/18/26"
"Rick y Morty: Temporada 4: El rickgreso del Jerri","1/18/26"
"Frankenstein","12/24/25"
"División Palermo: Temporada 1: Los escalones están en tu mente","9/8/25"
"División Palermo: Temporada 1: Un match","9/8/25"
"Love, Death & Robots: Volumen 4: Spider Rose","8/19/25"
"Love, Death & Robots: Volumen 4: Miniencuentros del tercer tipo","8/19/25"
"El Eternauta: Paisaje","6/8/25"
"El Eternauta: Credo","5/27/25"
"Cacería implacable: Osama bin Laden: Una nueva clase de enemigo","5/27/25"
"El Eternauta: El magnetismo","5/26/25"
"El Eternauta: Salgan al sol","5/10/25"
"El Eternauta: Noche de truco","5/10/25"
"Las chicas Gilmore: Temporada 7: Tejer por tejer","4/8/25"
"Las chicas Gilmore: Temporada 6: Despedidas","4/8/25"
"Adolescencia: Miniserie: Episodio 4","3/31/25"
"Las leyes de la frontera","3/3/25"
"Bastion 36","3/3/25"
"Sin novedad en el frente","3/3/25"
"Cell 211","3/2/25"
"Sin miedo: Temporada 1: Un campeón no conoce fronteras","3/2/25"
"Cowboys de Filadelfia","3/2/25"
"Siempre quise ser cowboy","3/2/25"
"El juego del calamar: Temporada 2: Fiesta de Halloween","12/30/24"
"El juego del calamar: Temporada 1: Infierno","12/30/24"
"Nuestro secretito","12/15/24"
"El Padrino","12/15/24"
"Envidiosa: Temporada 1: Historia clínica","12/1/24"
"Arcane: Temporada 1: ¡Bienvenidos!","11/25/24"
"Arcane: Temporada 2: La mugre bajo tus uñas","11/25/24"
"Arcane: Temporada 2: Matar es un ciclo","11/25/24"
"Arcane: Temporada 2: Finjamos que es la primera vez","11/25/24"
"Arcane: Temporada 2: Pintemos la ciudad de azul","11/25/24"
"Envidiosa: Temporada 1: Rota y Roto","11/22/24"
"Envidiosa: Temporada 1: Todas se casan menos vos","11/22/24"
"Envidiosa: Temporada 1: Ametralladora de likes","11/22/24"
"Jake Paul vs. Mike Tyson","11/16/24"
"Arcane: Temporada 2: Por fin pudiste pronunciar mi nombre","11/15/24"
"Arcane: Temporada 2: Ver cómo se quema todo","11/14/24"
"Arcane: Temporada 2: El peso del liderazgo","11/14/24"
"Envidiosa: Temporada 1: Pizza Delivery","10/30/24"
"El paquete","10/19/24"
"Envidiosa: Temporada 1: Barrilete cósmico","10/12/24"
"Envidiosa: Temporada 1: Todo sobre Vicky","10/12/24"
"The Office (EE. UU.): Temporada 1: Pilot","9/14/24"
"How to Sell Drugs Online (Fast): Temporada 1: Nerd hoy, jefe mañana","9/14/24"
"Las chicas Gilmore: Temporada 6: Conduciendo a Miss Gilmore","8/3/24"
"Las chicas Gilmore: Temporada 1: Piloto","8/3/24"
"Top Gun: Maverick","2/27/24"
"La sociedad de la nieve","1/12/24"
"Kung Fu Panda 3","9/16/23"
"La llegada","9/2/23"
"División Palermo: Temporada 1: Casi héroes","4/9/23"
"División Palermo: Temporada 1: Noche de la electrónica","4/9/23"
"División Palermo: Temporada 1: Amistades peligrosas","4/6/23"
"División Palermo: Temporada 1: Fin de semana verde","3/11/23"
"División Palermo: Temporada 1: Bienvenido a la selva","3/10/23"
"División Palermo: Temporada 1: Guardia urbana","3/10/23"
"Nuestro universo: Miniserie: Fuerza de atracción","3/8/23"
"Nuestro universo: Miniserie: El mundo del agua","3/7/23"
"Nuestro universo: Miniserie: Elemental","3/2/23"
"Nuestro universo: Miniserie: El reloj cósmico","3/2/23"
"Nuestro universo: Miniserie: Bajo la luz del sol","3/1/23"
"Caracortada","2/3/23"
"El Padrino EPÍLOGO: La muerte de Michael Corleone","2/3/23"
"El Padrino: Parte II","1/14/23"
"Caleidoscopio: Miniserie: Blanco (El robo)","1/14/23"
"Caleidoscopio: Miniserie: Rosa (Seis meses después del robo)","1/14/23"
"Caleidoscopio: Miniserie: Naranja (Tres semanas antes del robo)","1/11/23"
"Caleidoscopio: Miniserie: Rojo (La mañana después del robo)","1/11/23"
"Caleidoscopio: Miniserie: Amarillo (Seis semanas antes del robo)","1/11/23"
"Caleidoscopio: Miniserie: Verde (Siete años antes del robo)","1/7/23"
"Caleidoscopio: Miniserie: Violeta (Veinticuatro años antes del robo)","1/7/23"
"Caleidoscopio: Miniserie: Azul (Cinco días antes del robo)","1/7/23"
"Caleidoscopio: Miniserie: Negro","1/7/23"
"El método","12/16/22"
"Sean eternos: Campeones de América: A todo o nada","11/5/22"
"Sean eternos: Campeones de América: Un equipo, un líder","11/5/22"
"Sean eternos: Campeones de América: Cuentas pendientes","11/5/22"
"Un viaje al infinito","10/29/22"
"Patrulla de cachorros: Temporada 6: Rescate máximo: Los cachorros salvan a la ciudad de derretirse / Rescate máximo: Los cachorros resuelven el misterio de los teléfonos desaparecidos","9/4/22"
"Patrulla de cachorros: Temporada 6: Los cachorros salvan a los pingüinos de la selva / Los cachorros salvan a un carguero","9/4/22"
"The Midnight Gospel: Desde adentro","9/4/22"
"Había una vez en Hollywood","9/4/22"
"Top Gun: Pasión y gloria","9/4/22"
"Revenant: El renacido","8/21/22"
"The Midnight Gospel: Muerte, me encantó conocerte","8/7/22"
"The Midnight Gospel: El trasero de tu mente","8/7/22"
"The Umbrella Academy: Temporada 3: Kugelblitz","8/6/22"
"The Umbrella Academy: Temporada 3: Lleno de luz","8/6/22"
"The Midnight Gospel: Saca esas cucharas","7/27/22"
"The Umbrella Academy: Temporada 3: El ovillo más grande del mundo","7/25/22"
"The Umbrella Academy: Temporada 3: Les presento a su familia","7/25/22"
"Peaky Blinders: Temporada 6: Secreto bajo llave","7/22/22"
"Peaky Blinders: Temporada 6: Camino al infierno","7/22/22"
"Stranger Things: Stranger Things 4: Capítulo nueve: El huésped","7/3/22"
"Stranger Things: Stranger Things 4: Capítulo ocho: Papá","7/3/22"
"Whiplash: Música y obsesión","6/26/22"
"Peaky Blinders: Temporada 6: Zafiro","6/20/22"
"Peaky Blinders: Temporada 6: Oro","6/20/22"
"Love, Death & Robots: Volumen 3: Jíbaro","6/18/22"
"Love, Death & Robots: Volumen 3: En salas abovedadas sepultadas","6/18/22"
"Love, Death & Robots: Volumen 3: Ratas de Mason","6/18/22"
"Love, Death & Robots: Volumen 3: Enjambre","6/18/22"
"Love, Death & Robots: Volumen 3: Equipo mortal","6/18/22"
"Love, Death & Robots: Volumen 3: La noche de los minimuertos","6/18/22"
"Love, Death & Robots: Volumen 3: El mismo pulso de la máquina","6/18/22"
"Love, Death & Robots: Volumen 3: Mal viaje","6/18/22"
"Love, Death & Robots: Volumen 3: Los tres robots: Estrategias de salida","6/18/22"
"Nuevo sabor a cereza: Miniserie: Batido de renacuajo","6/14/22"
"Peaky Blinders: Temporada 6: Camisa negra","6/12/22"
"Peaky Blinders: Temporada 6: Día negro","6/12/22"
"Stranger Things: Stranger Things 4: Capítulo siete: Masacre en el laboratorio Hawkins","6/10/22"
"Stranger Things: Stranger Things 4: Capítulo seis: En lo profundo","6/10/22"
"Stranger Things: Stranger Things 4: Capítulo cinco: Proyecto Nina","6/10/22"
"Stranger Things: Stranger Things 4: Capítulo cuatro: Querido Billy","6/10/22"
"Stranger Things: Stranger Things 4: Capítulo tres: ¿Monstruo o superheroína?","6/10/22"
"Stranger Things: Stranger Things 4: Capítulo dos: La maldición de Vecna","6/9/22"
"Stranger Things: Stranger Things 4: Capítulo uno: El club","6/1/22"
"The Midnight Gospel: Ordeñar el cuervito","5/25/22"
"The Midnight Gospel: ¿Vomitas helado?","5/25/22"
"The Midnight Gospel: Medita como Cristo","5/25/22"
"The Midnight Gospel: Malditos zombis","5/22/22"
"El marginal: Temporada 5: Capítulo 1","5/15/22"
"Los Simuladores: Capítulo 3","3/20/22"
"La masacre de Texas","2/28/22"
"Gran Torino","2/21/22"
"El marginal: Temporada 4: Capítulo 5","2/8/22"
"El marginal: Temporada 4: Capítulo 4","2/4/22"
"El marginal: Temporada 4: Capítulo 3","2/3/22"
"El club de la pelea","1/18/22"
"Eterno resplandor de una mente sin recuerdos","1/18/22"
"El Potro, lo mejor del amor","12/30/21"
"Toc toc: Una comedia obsesivamente divertida","12/22/21"
"La casa de papel: Parte 5: La teoría de la elegancia","12/13/21"
"La casa de papel: Parte 5: Ciencia ilusionada","12/13/21"
"La casa de papel: Parte 5: Una tradición familiar","12/13/21"
"La casa de papel: Parte 5: Lo que se habla en la cama","12/13/21"
"Arcane: Temporada 1: El monstruo que creaste","11/21/21"
"Arcane: Temporada 1: Agua y aceite","11/20/21"
"Arcane: Temporada 1: El salvador","11/20/21"
"Arcane: Temporada 1: Cuando caigan estos muros","11/16/21"
"Arcane: Temporada 1: Todo el mundo quiere ser mi enemigo","11/15/21"
"Arcane: Temporada 1: ¡Feliz Día del Progreso!","11/15/21"
"Arcane: Temporada 1: La violencia bruta es necesaria para el cambio","11/15/21"
"Arcane: Temporada 1: Algunos misterios están mejor sin resolver","11/11/21"
"El caso Hartung: Episodio 3","11/6/21"
"El caso Hartung: Episodio 2","11/6/21"
"El caso Hartung: Episodio 1","10/30/21"
"Rick y Morty: Temporada 4: Childrick of Morta","10/18/21"
"Rick y Morty: Temporada 4: El episodio del tanque de ácido","10/18/21"
"Rick y Morty: Temporada 1: La simulación alienígena","10/18/21"
"Rick y Morty: Temporada 1: Parque anatómico","10/18/21"
"Rick y Morty: Temporada 1: Invasión canina","10/18/21"
"Rick y Morty: Temporada 1: Buscando las semillas","10/18/21"
"Rick y Morty: Temporada 3: Pepinillo Rick","10/18/21"
"Rick y Morty: Temporada 2: Los Ricks deben estar locos","10/13/21"
"Rick y Morty: Temporada 2: Ponte ricoso","10/13/21"
"El juego del calamar: Temporada 1: Los VIP","10/9/21"
"El juego del calamar: Temporada 1: Gganbu","10/9/21"
"El juego del calamar: Temporada 1: Un mundo justo","10/9/21"
"El juego del calamar: Temporada 1: No abandones el equipo","10/9/21"
"El juego del calamar: Temporada 1: El hombre del paraguas","10/8/21"
"El juego del calamar: Temporada 1: Luz roja, luz verde","10/7/21"
"Sex Education: Temporada 3: Episodio 8","10/4/21"
"Sex Education: Temporada 3: Episodio 7","10/4/21"
"Sex Education: Temporada 3: Episodio 6","10/1/21"
"Sex Education: Temporada 3: Episodio 5","10/1/21"
"Sex Education: Temporada 3: Episodio 4","9/28/21"
"Sex Education: Temporada 3: Episodio 3","9/27/21"
"El Reino: Temporada 1: Control de daños","9/12/21"
"La casa de papel: Parte 5: Vivir muchas vidas","9/5/21"
"La casa de papel: Parte 5: Tu sitio en el cielo","9/5/21"
"La casa de papel: Parte 5: El espectáculo de la vida","9/5/21"
"La casa de papel: Parte 5: ¿Crees en la reencarnación?","9/5/21"
"La casa de papel: Parte 5: El final del camino","9/5/21"
"Outer Banks: Temporada 1: Piloto","8/22/21"
"Lupin: Parte 2: Capítulo 10","8/7/21"
"Lupin: Parte 2: Capítulo 9","8/7/21"
"Lupin: Parte 2: Capítulo 8","8/4/21"
"Paul","8/1/21"
"Okupas: Los cincos mandamientos","7/30/21"
"Lupin: Parte 2: Capítulo 7","7/29/21"
"Lupin: Parte 2: Capítulo 6","7/29/21"
