Title,Date
"Breaking Bad: Temporada 3: Vuelo","5/1/26"
"Breaking Bad: Temporada 3: Kafkiano","4/25/26"
"Breaking Bad: Temporada 3: Te veo","4/25/26"
"La tumba de las luciérnagas","4/4/26"
"Breaking Bad: Temporada 3: Un minuto","4/2/26"
"Breaking Bad: Temporada 2: ABQ","2/16/26"
"Breaking Bad: Temporada 2: Phoenix","2/15/26"
"Breaking Bad: Temporada 2: Mandala","2/14/26"
"Breaking Bad: Temporada 2: Terminado","2/7/26"
"Aftersun","2/1/26"
"Breaking Bad: Temporada 2: Cuatro días afuera","2/1/26"
"Las ventajas de ser invisible","1/31/26"
"The Office (EE. UU.): Temporada 1: Pilot","1/30/26"
"Black Mirror: Temporada 7: Una pareja cualquiera","1/29/26"
"Alice in Borderland: Temporada 3: Episodio 6","1/2/26"
"Alice in Borderland: Temporada 3: Episodio 5","1/2/26"
"Stranger Things: Stranger Things 5: Capítulo ocho: Este Lado","1/1/26"
"Alice in Borderland: Temporada 3: Episodio 4","1/1/26"
"Alice in Borderland: Temporada 3: Episodio 3","1/1/26"
"El descanso","12/30/25"
"Haikyu!!: Toru Oikawa no es un genio","12/20/25"
"Haikyu!!: Directores","12/20/25"
"Breaking Bad: Temporada 2: Negro y azul","11/30/25"
"Stranger Things: Stranger Things 5: Capítulo cuatro: Hechicero","11/29/25"
"Stranger Things: Stranger Things 5: Capítulo tres: La trampa de Turnbow","11/29/25"
"Stranger Things: Stranger Things 5: Capítulo Dos: La Desaparición de Holly Wheeler","11/29/25"
"Stranger Things: Stranger Things 5: Capítulo uno: La misión","11/29/25"
"Breaking Bad: Temporada 2: Cucú","11/23/25"
"Haikyu!!: Cubriendo tu espalda","11/2/25"
"Haikyu!!: El Muro de Acero","11/2/25"
"Haikyu!!: Vencedores y vencidos","11/2/25"
"Breaking Bad: Temporada 2: A las brasas","11/1/25"
"Alice in Borderland: Temporada 3: Episodio 2","10/23/25"
"Alice in Borderland: Temporada 3: Episodio 1","10/21/25"
"El viaje de Chihiro","10/11/25"
"División Palermo: Temporada 2: Todos en cuero","8/16/25"
"División Palermo: Temporada 1: Bienvenido a la selva","8/16/25"
"Love, Death & Robots: Volumen 4: Spider Rose","8/5/25"
"Love, Death & Robots: Volumen 4: Miniencuentros del tercer tipo","8/5/25"
"Mi lista de deseos","4/18/25"
"Amigos imaginarios","3/24/25"
"Arcane: Temporada 2: El peso del liderazgo","3/24/25"
"Arcane: Temporada 1: El monstruo que creaste","3/23/25"
"Arcane: Temporada 1: ¡Bienvenidos!","3/23/25"
"Gambito de dama: Miniserie: Ataque doble","3/9/25"
"Día cero: Miniserie: Episodio 1","2/25/25"
"Gambito de dama: Miniserie: Medio juego","2/25/25"
"Cassandra: Miniserie: Un nuevo comienzo","2/23/25"
"Gambito de dama: Miniserie: Peones doblados","2/15/25"
"Gambito de dama: Miniserie: Intercambios","2/15/25"
"Gambito de dama: Miniserie: Aperturas","2/12/25"
"Arcane: Temporada 2: La mugre bajo tus uñas","11/24/24"
"Arcane: Temporada 2: Matar es un ciclo","11/24/24"
"Arcane: Temporada 2: Finjamos que es la primera vez","11/23/24"
"Arcane: Temporada 2: Pintemos la ciudad de azul","11/23/24"
"Jake Paul vs. Mike Tyson","11/16/24"
"Arcane: Temporada 2: Por fin pudiste pronunciar mi nombre","11/14/24"
"Arcane: Temporada 2: Ver cómo se quema todo","11/14/24"
"Playlist: Miniserie: La visión","11/6/24"
"La pareja perfecta: Nunca te abandonaré","10/6/24"
"La madre de la novia","10/6/24"
