Title,Date
"Llegando a ti: Prólogo","4/2/26"
"Instinto animal: Temporada 1: Piloto","3/8/26"
"Jujutsu Kaisen 0: La película","1/31/26"
"Jujutsu Kaisen: Temporada 1: Cómplices","1/30/26"
"Jujutsu Kaisen: Temporada 1: El origen de la fe ciega (Parte 2)","1/30/26"
"Jujutsu Kaisen: Temporada 1: El origen de la fe ciega (Parte 1)","1/30/26"
"Jujutsu Kaisen: Temporada 1: Jujutsu Koshien","1/30/26"
"Jujutsu Kaisen: Temporada 1: Fuera de lo común","1/30/26"
"Jujutsu Kaisen: Temporada 1: Destello negro","1/30/26"
"Jujutsu Kaisen: Temporada 1: Sabio","1/28/26"
"Jujutsu Kaisen: Temporada 1: El evento de intercambio con la escuela de Kioto: Combate grupal 3","1/28/26"
"Jujutsu Kaisen: Temporada 1: El evento de intercambio con la escuela de Kioto: Combate grupal 2","1/28/26"
"Jujutsu Kaisen: Temporada 1: El evento de intercambio con la escuela de Kioto: Combate grupal 1","1/27/26"
"Jujutsu Kaisen: Temporada 1: El evento de intercambio con la escuela de Kioto: Combate grupal 0","1/27/26"
"Jujutsu Kaisen: Temporada 1: Hasta mañana","1/27/26"
"Jujutsu Kaisen: Temporada 1: Para ti, algún día","1/27/26"
"Jujutsu Kaisen: Temporada 1: De mente cerrada","1/27/26"
"Jujutsu Kaisen: Temporada 1: Mutación pasiva","1/26/26"
"Jujutsu Kaisen: Temporada 1: Donnadies y castigo","1/26/26"
"El botín","1/23/26"
"Titanes del Pacífico","1/15/26"
"Mad Max: Furia en el camino","1/15/26"
"Furiosa: De la saga Mad Max","1/15/26"
"Jujutsu Kaisen: Temporada 1: Aburrimiento","1/15/26"
"Jujutsu Kaisen: Temporada 1: Asalto","1/15/26"
"Jujutsu Kaisen: Temporada 1: Tras la lluvia","1/15/26"
"Jujutsu Kaisen: Temporada 1: La existencia terrenal del vientre maldito (Parte 2)","1/15/26"
"La tumba de las luciérnagas","1/14/26"
"Mi vecino Totoro","1/13/26"
"El viaje de Chihiro","1/2/26"
"Psicópata americano","12/31/25"
"Identidad desconocida","12/31/25"
"Juegos de patriotas","12/31/25"
"Equilibrium","12/26/25"
"Parasite","12/26/25"
"La princesa Mononoke","12/25/25"
"El increíble castillo vagabundo","12/22/25"
"Observados","12/5/25"
"Hunter X Hunter (2011): Temporada 1: Examen x de x exámenes","11/21/25"
"Frankenstein","11/15/25"
"Jujutsu Kaisen: Temporada 1: La existencia terrenal del vientre maldito (Parte 1)","11/8/25"
"Hunter X Hunter (2011): Temporada 1: Partida x y x compañeros","10/22/25"
"La mujer del camarote 10","10/12/25"
"Jujutsu Kaisen: Temporada 1: Chica de acero","10/10/25"
"Jujutsu Kaisen: Temporada 1: Por mí","10/8/25"
"Jujutsu Kaisen: Temporada 1: Ryōmen Sukuna","10/8/25"
"Justicia joven: Descanso","8/31/25"
"Mi vida con los chicos Walter: Temporada 2: Un nuevo comienzo","8/31/25"
"Justicia joven: Negación","8/25/25"
"Justicia joven: Infiltrador","8/25/25"
"Justicia joven: Disciplina","8/25/25"
"Justicia joven: Zona de lanzamiento","8/24/25"
"Justicia joven: Bienvenido a Puerto Feliz","8/24/25"
"Justicia joven: Fuegos artificiales","8/24/25"
"Justicia joven: Día de la Independencia","8/24/25"
"Star Trek: Espacio profundo nueve: Babel","7/23/25"
"Chicago","7/20/25"
"La balada de Buster Scruggs","7/5/25"
"Noches de encanto","7/5/25"
"Predestinación","7/4/25"
"La raíz del miedo","5/24/25"
"El Eternauta: Jugo de tomate frío","5/23/25"
"El Eternauta: Paisaje","5/23/25"
"El Eternauta: Credo","5/23/25"
"El Eternauta: El magnetismo","5/17/25"
"El Eternauta: Salgan al sol","5/17/25"
"El Eternauta: Noche de truco","5/17/25"
"Ojo por ojo","4/25/25"
"Arcane: Temporada 1: La violencia bruta es necesaria para el cambio","3/21/25"
"Adolescencia: Miniserie: Episodio 4","3/19/25"
"Adolescencia: Miniserie: Episodio 3","3/18/25"
"Adolescencia: Miniserie: Episodio 2","3/18/25"
"Star Trek: La nueva generación: La batalla","3/18/25"
"Star Trek","2/23/25"
"Star Trek: Voyager: La nebulosa","2/23/25"
"Star Trek: Voyager: Fago","2/23/25"
"Star Trek: Voyager: Temporada 7: La carrera","2/23/25"
"Star Trek: La nueva generación: Justicia","2/23/25"
"Star Trek: La nueva generación: Soledad en compañía","2/23/25"
"Star Trek: La nueva generación: Donde nadie ha podido llegar","2/22/25"
"Cyberpunk: Edgerunners: Mi luna, mi hombre","2/16/25"
"Cyberpunk: Edgerunners: Humanidad","2/16/25"
"Cyberpunk: Edgerunners: Quédate","2/16/25"
"Cyberpunk: Edgerunners: Más fuerte","2/16/25"
"Cyberpunk: Edgerunners: Hoguera","2/16/25"
"Cyberpunk: Edgerunners: Todas las miradas sobre mí","2/16/25"
"Cyberpunk: Edgerunners: Suertudo","2/16/25"
