MATERIA;FECHA_RENDIR
DESARROLLO DE APLICACIONES;20/04/26 (PRIMERA ENTREGA)
DESARROLLO DE APLICACIONES;08/06/26 (SEGUNDA ENTREGA)
DESARROLLO DE APLICACIONES;22/06/26 (DEFENSA INDIVIDUAL)
DESARROLLO DE APLICACIONES;29/06/26 (DEFENSA INDIVIDUAL)
DESARROLLO DE APLICACIONES;06/07/26 (DEFENSA INDIVIDUAL)
DESARROLLO DE APLICACIONES;13/07/26 (FINAL REGULAR)
DIRECCION DE PROYECTOS INFORMATICOS;28/04/26 (PRESENTACION KICK-OFF)
DIRECCION DE PROYECTOS INFORMATICOS;19/05/26 (ENTREGA DE TP)
DIRECCION DE PROYECTOS INFORMATICOS;16/06/26 (PRESENTACION FINAL)
DIRECCION DE PROYECTOS INFORMATICOS;23/06/26 (PRESENTACION FINAL)
DIRECCION DE PROYECTOS INFORMATICOS;30/06/26 (FINAL ADELANTADO)
DIRECCION DE PROYECTOS INFORMATICOS;14/07/26 (FINAL DESDOBLADO)
DIRECCION DE PROYECTOS INFORMATICOS;21/07/26 (FINAL REGULAR)
MODELADO Y SIMULACION;22/04/26 (PRIMER PARCIAL)
MODELADO Y SIMULACION;24/06/26 (SEGUNDO PARCIAL)
MODELADO Y SIMULACION;01/07/26 (FINAL ADELANTADO)
MODELADO Y SIMULACION;15/07/26 (FINAL REGULAR)
SEGURIDAD E INTEGRIDAD DE LA INFORMACION;30/04/26 (PRIMER PARCIAL)
SEGURIDAD E INTEGRIDAD DE LA INFORMACION;18/06/26 (SEGUNDO PARCIAL)
SEGURIDAD E INTEGRIDAD DE LA INFORMACION;02/07/26 (FINAL ADELANTADO)
SEGURIDAD E INTEGRIDAD DE LA INFORMACION;16/07/26 (FINAL DESDOBLADO)
SEGURIDAD E INTEGRIDAD DE LA INFORMACION;23/07/26 (FINAL REGULAR)
CIENCIA DE DATOS;24/04/26 (PRIMER PARCIAL)
CIENCIA DE DATOS;19/06/26 (PRESENTACION TPO)
CIENCIA DE DATOS;03/07/26 (PRESENTACION TPO)
CIENCIA DE DATOS;26/06/26 (SEGUNDO PARCIAL)
CIENCIA DE DATOS;10/07/26 (FINAL ADELANTADO)
CIENCIA DE DATOS;17/07/26 (FINAL REGULAR)
CIENCIA DE DATOS;24/07/26 (FINAL DESDOBLADO)
INGENIERIA DE SOFTWARE;29/09/25 (PRIMER PARCIAL)
INGENIERIA DE SOFTWARE;03/11/25 (SEGUNDO PARCIAL)
INGENIERIA DE SOFTWARE;10/11/25 (SEGUNDO PARCIAL)
INGENIERIA DE SOFTWARE;17/11/25 (FINAL ADELANTADO)
INGENIERIA DE SOFTWARE;15/12/25 (FINAL REGULAR)
APLICACIONES INTERACTIVAS;09/09/25 (PRIMER PARCIAL)
APLICACIONES INTERACTIVAS;21/10/25 (SEGUNDO PARCIAL)
APLICACIONES INTERACTIVAS;25/11/25 (FINAL ADELANTADO)
APLICACIONES INTERACTIVAS;09/12/25 (FINAL REGULAR)
FISICA II;17/09/25 (PRIMER PARCIAL)
FISICA II;05/11/25 (SEGUNDO PARCIAL)
FISICA II;26/11/25 (FINAL ADELANTADO)
FISICA II;17/12/25 (FINAL REGULAR)
ESTADISTICA AVANZADA;25/09/25 (PRIMER PARCIAL)
ESTADISTICA AVANZADA;13/11/25 (SEGUNDO PARCIAL)
ESTADISTICA AVANZADA;27/11/25 (FINAL ADELANTADO)
ESTADISTICA AVANZADA;11/12/25 (FINAL REGULAR)
TEORIA DE LA COMPUTACION;19/09/25 (PRIMER PARCIAL)
TEORIA DE LA COMPUTACION;07/11/25 (SEGUNDO PARCIAL)
TEORIA DE LA COMPUTACION;28/11/25 (FINAL ADELANTADO)
TEORIA DE LA COMPUTACION;19/12/25 (FINAL REGULAR)
PROBABILIDAD Y ESTADISTICA;05/05/25 (PRIMER PARCIAL)
PROBABILIDAD Y ESTADISTICA;23/06/25 (SEGUNDO PARCIAL)
PROBABILIDAD Y ESTADISTICA;07/07/25 (FINAL ADELANTADO)
PROBABILIDAD Y ESTADISTICA;21/07/25 (FINAL)
PROCESO DE DESARROLLO DE SOFTWARE;10/06/25 (PRIMER PARCIAL)
PROCESO DE DESARROLLO DE SOFTWARE;24/06/25 (SEGUNDO PARCIAL)
PROCESO DE DESARROLLO DE SOFTWARE;01/07/25 (FINAL ADELANTADO)
PROCESO DE DESARROLLO DE SOFTWARE;15/07/25 (FINAL)
SEMINARIO DE INTEGRACION PROFESIONAL;09/07/25 (FINAL ADELANTADO)
SEMINARIO DE INTEGRACION PROFESIONAL;16/07/25 (FINAL)
INGENIERIA DE DATOS II;08/05/25 (PRIMER PARCIAL)
INGENIERIA DE DATOS II;19/06/25 (SEGUNDO PARCIAL)
INGENIERIA DE DATOS II;10/07/25 (FINAL ADELANTADO)
INGENIERIA DE DATOS II;17/07/25 (FINAL)
TELEINFORMATICA Y REDES;09/05/25 (PRIMER PARCIAL)
TELEINFORMATICA Y REDES;06/06/25 (SEGUNDO PARCIAL)
TELEINFORMATICA Y REDES;11/07/25 (FINAL ADELANTADO)
TELEINFORMATICA Y REDES;25/07/25 (FINAL)
FUNDAMENTOS DE TELECOMUNICACIONES;23/9/24 (PRIMER PARCIAL)
FUNDAMENTOS DE TELECOMUNICACIONES;11/11/24 (SEGUNDO PARCIAL)
FUNDAMENTOS DE TELECOMUNICACIONES;25/11/24 (FINAL ADELANTADO)
FUNDAMENTOS DE TELECOMUNICACIONES;16/12/24 (FINAL)
INGENIERIA DE DATOS I;20/09/24 (PRIMER PARCIAL)
INGENIERIA DE DATOS I;08/11/24 (SEGUNDO PARCIAL)
